system:index,Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,.geo
1_1_1_1_2_0000000000000000000f,892.7517108714209,7.6,Class1,31,287,344,68,0.12617247618179311,0.5272500922718498,217,Ong,1313,0.9009194575577062,0.4232892137282442,1,6243,7324,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000011,1103.4963688442242,9.4,Class4,34,302,358,82,0.12617247618179311,0.5272500922718498,218,Ong,1342,0.9285427444500186,0.4931412338198654,1,6380,7342,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000008,5050.878949659325,43.0,Paddy,2,289,346,71,0.12617247618179311,0.5272500922718498,216,Ong,1265,0.9543526761995411,0.4141999938312242,1,6299,7355,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000018,493.76833263588696,4.7,Class1,31,222,262,23,0.04080242109663999,0.38562955986719827,194,Ong,52,0.910558928164926,0.9089886587713261,2,5782,8449,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000013,5992.479131179917,57.5,Paddy,2,228,272,32,0.04080242109663999,0.38562955986719827,194,Ong,51,0.9544136535200107,0.9178874435806135,2,6299,8955,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_0000000000000000001a,1027.5862718642234,9.9,Class4,34,263,336,34,0.04080242109663999,0.38562955986719827,224,Ong,57,0.9239357527752267,0.909440582304623,2,7535,10404,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000018,3005.3927551380357,23.2,Paddy,2,210,264,25,0.04256236224711699,0.543026314155007,181,Ong,93,0.9366463716363905,0.9330742083197813,2,6266,9047,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000001d,486.043674201804,3.8,Class1,31,223,320,22,0.04256236224711699,0.543026314155007,195,Ong,93,0.925152601270122,0.9025025523140441,2,6349,9465,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000001f,4306.167608706916,33.3,Class4,34,266,334,34,0.04256236224711699,0.543026314155007,227,Ong,98,0.9284986999834239,0.8536542845789447,2,7819,10165,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000000d,2055.488662774832,15.4,Paddy,2,238,318,47,0.19330612213185466,0.8913611458830403,188,Ong,1140,0.9349388351948522,0.32583569244909205,1,4178,5505,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000014,804.6481968171756,6.0,Class1,31,235,296,45,0.19330612213185466,0.8913611458830403,187,Ong,1172,0.9192753621169459,0.3523279721721172,1,4175,5169,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000016,3808.6613101220046,28.6,Class4,34,252,336,58,0.19330612213185466,0.8913611458830403,190,Ong,1225,0.9309567472201753,0.3636095776692845,1,4294,5568,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000016,3757.602625146015,39.1,Paddy,2,221,276,25,0.04273424416367049,0.4424103849233061,192,Ong,94,0.9486973821352163,0.922534361034333,2,5201,7166,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_0000000000000000001b,440.4639358167274,4.6,Class1,31,246,286,24,0.04273424416367049,0.4424103849233061,216,Ong,93,0.9031269312019065,0.9027614687840553,2,5737,7741,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_0000000000000000001d,364.7680161631061,3.8,Class4,34,285,362,33,0.04273424416367049,0.4424103849233061,247,Ong,102,0.9227615667459076,0.8963206278098055,2,6758,8977,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_0000000000000000000b,2233.22710793429,21.3,Paddy,2,288,368,70,0.1425109615355996,0.48541482053772184,221,Ong,1312,0.948586775421601,0.5356696081573853,1,4441,6090,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000012,573.6098743240408,5.5,Class1,31,321,384,91,0.1425109615355996,0.48541482053772184,233,Ong,1426,0.8978885510753709,0.5422080299045421,1,4863,6207,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000014,348.2543414022344,3.3,Class4,34,321,382,93,0.1425109615355996,0.48541482053772184,236,Ong,1460,0.9205901474420444,0.6261362970778424,1,4788,6114,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000012,641.3586187653099,7.2,Class1,31,220,288,57,0.21250162366161385,0.6583141525302407,165,Ong,936,0.9040631632038625,0.3594774971876253,1,3775,4904,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000000c,2884.302691033506,32.5,Paddy,2,216,284,55,0.21250162366161385,0.6583141525302407,164,Ong,900,0.9443019608937341,0.39162543763697333,1,3727,5011,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000014,465.10641521983405,5.2,Class4,34,250,316,79,0.21250162366161385,0.6583141525302407,170,Ong,1077,0.9346708011147984,0.3846831470167469,1,4091,5171,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000016,4563.986231227656,53.2,Paddy,2,230,286,31,0.04393735848970317,0.4247903954030132,195,Ong,87,0.9440891839339335,0.9212572692097336,2,5581,8698,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000001b,690.0242369289957,8.0,Class1,31,236,324,26,0.04393735848970317,0.4247903954030132,204,Ong,88,0.9089278573089777,0.908008313121375,2,5740,9113,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000001d,638.9892801864743,7.4,Class4,34,271,340,36,0.04393735848970317,0.4247903954030132,230,Ong,100,0.9357341949748562,0.9230349380565208,2,7065,9783,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000011,5823.9955089442155,46.8,Paddy,2,222,280,24,0.04234814008008007,0.4741028366273812,194,Ong,118,0.9443240777219831,0.9315769045599471,2,6356,8853,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000016,293.0507217902478,2.4,Class1,31,238,296,22,0.04234814008008007,0.4741028366273812,211,Ong,118,0.9203022424416216,0.8948640203628133,2,6625,9433,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000018,1066.0127568422897,8.6,Class4,34,285,364,33,0.04234814008008007,0.4741028366273812,247,Ong,129,0.9342257319775243,0.9028997846553132,2,8147,10511,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000007,4004.621482646345,30.2,Paddy,2,249,296,42,0.13123189100161747,0.6413610654045564,205,Ong,1106,0.9440525532664833,0.42638760298181255,1,4615,5289,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000000d,594.2403954901276,4.5,Class1,31,265,304,50,0.13123189100161747,0.6413610654045564,213,Ong,1226,0.8950488209784304,0.49147649476428984,1,4874,5340,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000000f,1096.9115895187015,8.3,Class4,34,274,326,59,0.13123189100161747,0.6413610654045564,213,Ong,1235,0.920556176401825,0.46146678808057406,1,4806,5223,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_0000000000000000001e,180.6950376409763,6.9,Other Irrigated (Less Water Intensive),15,336,412,76,0.09809593479062127,0.33488716120267453,258,Ong,68,,,3,2729,3429,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000021,32.09234773399207,1.2,Class1,31,389,493,109,0.09809593479062127,0.33488716120267453,278,Ong,85,,,3,2846,3909,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_0000000000000000001c,1486.8461345535845,56.5,Other Irrigated (High Water Intensive),14,493,573,181,0.09809593479062127,0.33488716120267453,310,Ong,99,,,3,3385,4074,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000023,788.2219675938657,29.9,Class4,34,460,553,151,0.09809593479062127,0.33488716120267453,307,Ong,99,,,3,3435,4487,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_0000000000000000000c,501.66725891546105,4.3,Other Irrigated (Less Water Intensive),15,288,314,71,0.12617247618179311,0.5272500922718498,216,Ong,1300,,,1,6208,6619,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_0000000000000000000a,141.06024110038598,1.2,Other Irrigated (High Water Intensive),14,342,378,125,0.12617247618179311,0.5272500922718498,216,Ong,1345,,,1,6652,7128,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000015,54.598896247247446,0.5,Other Irrigated (Less Water Intensive),15,229,288,28,0.04080242109663999,0.38562955986719827,197,Ong,52,,,2,6293,9319,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000000,6429.018573213055,54.5,Kharif Crop,1,496,573,81,0.08973572784407398,0.7500235898196734,406,Ong,1313,,,0,11892,14094,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000004,2204.005154243553,18.7,Double Crop Kharif/Zaid,5,954,1107,248,0.08973572784407398,0.7500235898196734,700,Ong,1401,,,0,14847,17291,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000002,59.84334386737897,0.5,Double Crop Kharif/Rabi,4,633,745,88,0.08973572784407398,0.7500235898196734,523,Ong,1242,,,0,15645,18670,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000006,674.8299002856834,5.7,Perennial Crops,8,1041,1197,224,0.08973572784407398,0.7500235898196734,800,Ong,1503,,,0,19377,21259,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000021,1924.6786916134856,23.4,Other Irrigated (High Water Intensive),14,477,537,168,0.10434803782829151,0.4188768006652594,307,Ong,150,,,3,5503,6110,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000023,557.2884985251184,6.8,Other Irrigated (Less Water Intensive),15,331,414,72,0.10434803782829151,0.4188768006652594,256,Ong,118,,,3,4107,5462,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000026,251.30926642697213,3.1,Class1,31,325,438,74,0.10434803782829151,0.4188768006652594,248,Ong,120,,,3,4055,5813,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000028,4645.812464790616,56.4,Class4,34,404,481,107,0.10434803782829151,0.4188768006652594,295,Ong,146,,,3,5210,6638,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000001a,144.21947463971603,1.1,Other Irrigated (Less Water Intensive),15,221,324,27,0.04256236224711699,0.543026314155007,190,Ong,92,,,2,6490,9716,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000000,2517.5208993528663,18.5,Kharif Crop,1,436,545,49,0.08734080509712452,0.6643820192660527,375,Ong,1236,,,0,9937,12838,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000002,80.53469323964441,0.6,Rabi Crop,2,443,773,80,0.08734080509712452,0.6643820192660527,356,Ong,161,,,0,10100,16316,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000004,7.889218941381122,0.1,Zaid Crop,3,375,513,101,0.08734080509712452,0.6643820192660527,270,Ong,128,,,0,4467,8213,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000005,75.89463720320758,0.6,Double Crop Kharif/Rabi,4,382,545,69,0.08734080509712452,0.6643820192660527,305,Ong,839,,,0,8449,14292,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000007,4609.0600970074665,33.9,Double Crop Kharif/Zaid,5,822,971,171,0.08734080509712452,0.6643820192660527,642,Ong,1393,,,0,14289,17314,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000009,49.0248055296924,0.4,Double Crop Rabi/Zaid,6,601,785,138,0.08734080509712452,0.6643820192660527,458,Ong,225,,,0,10544,14107,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000000a,107.79732746415976,0.8,Triple Crop,7,674,829,165,0.08734080509712452,0.6643820192660527,503,Ong,840,,,0,11293,14816,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000000b,3035.49397216812,22.3,Perennial Crops,8,974,1097,185,0.08734080509712452,0.6643820192660527,776,Ong,1488,,,0,18931,21199,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000000f,41.06668873362522,0.3,Other Irrigated (High Water Intensive),14,318,386,134,0.19330612213185466,0.8913611458830403,182,Ong,1209,,,1,4626,3297,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000011,149.36319359326836,1.1,Other Irrigated (Less Water Intensive),15,229,284,44,0.19330612213185466,0.8913611458830403,182,Ong,1152,,,1,4023,4678,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_0000000000000000001f,1619.2639221230595,70.1,Other Irrigated (High Water Intensive),14,433,529,196,0.12550526164343515,0.3351556457689644,236,Ong,175,,,3,3714,4632,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000021,101.99267096420887,4.4,Other Irrigated (Less Water Intensive),15,267,334,77,0.12550526164343515,0.3351556457689644,190,Ong,133,,,3,2581,3443,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000024,79.21902029609235,3.4,Class1,31,288,417,110,0.12550526164343515,0.3351556457689644,177,Ong,136,,,3,2354,3920,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000026,421.75961487934785,18.3,Class4,34,383,501,161,0.12550526164343515,0.3351556457689644,221,Ong,167,,,3,3337,4934,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000018,32.077952520377956,0.3,Other Irrigated (Less Water Intensive),15,249,344,29,0.04273424416367049,0.4424103849233061,216,Ong,95,,,2,5794,8498,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_0000000000000000000d,263.7224326831595,2.5,Other Irrigated (High Water Intensive),14,364,390,125,0.1425109615355996,0.48541482053772184,236,Ong,1442,,,1,5696,6326,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_0000000000000000000f,468.7801476722144,4.5,Other Irrigated (Less Water Intensive),15,316,346,84,0.1425109615355996,0.48541482053772184,233,Ong,1429,,,1,4695,5500,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000000,3835.719081132884,36.3,Kharif Crop,1,476,585,66,0.12081794457820086,0.7909522409439722,413,Ong,1414,,,0,8876,11601,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000003,25.36040425941914,0.2,Double Crop Kharif/Rabi,4,447,685,80,0.12081794457820086,0.7909522409439722,364,Ong,1089,,,0,8161,14429,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000005,2154.3016933961785,20.4,Double Crop Kharif/Zaid,5,861,1043,228,0.12081794457820086,0.7909522409439722,632,Ong,1503,,,0,12185,15383,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000007,15.66613566926545,0.1,Double Crop Rabi/Zaid,6,660,785,208,0.12081794457820086,0.7909522409439722,448,Ong,269,,,0,8783,11692,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000008,6.783279736899578,0.1,Triple Crop,7,762,973,241,0.12081794457820086,0.7909522409439722,520,Ong,1163,,,0,9935,14435,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000009,251.1742090220133,2.4,Perennial Crops,8,1011,1197,231,0.12081794457820086,0.7909522409439722,777,Ong,1740,,,0,16052,19027,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000021,46.67483737198476,1.8,Other Irrigated (Less Water Intensive),15,267,349,68,0.13011730395960122,0.31382273155333995,199,Ong,58,,,3,2949,3262,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000024,81.54019084880154,3.2,Class1,31,318,449,119,0.13011730395960122,0.31382273155333995,198,Ong,115,,,3,2778,3601,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000001f,1482.5523249263974,58.7,Other Irrigated (High Water Intensive),14,474,569,244,0.13011730395960122,0.31382273155333995,229,Ong,170,,,3,2889,3865,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000026,744.4587580056724,29.5,Class4,34,443,545,218,0.13011730395960122,0.31382273155333995,224,Ong,173,,,3,2884,4174,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000000e,38.39233945047415,0.4,Other Irrigated (High Water Intensive),14,293,338,122,0.21250162366161385,0.6583141525302407,169,Ong,1040,,,1,4500,4695,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000000f,151.80534748228186,1.7,Other Irrigated (Less Water Intensive),15,243,274,73,0.21250162366161385,0.6583141525302407,168,Ong,1016,,,1,4153,4750,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000018,58.53356813370643,0.7,Other Irrigated (Less Water Intensive),15,241,328,31,0.04393735848970317,0.4247903954030132,206,Ong,91,,,2,5959,9237,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000008,14.383599859619137,0.2,Double Crop Rabi/Zaid,6,741,870,290,0.12443426692485401,0.8711434624055067,446,Ong,275,,,0,9383,12174,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000000,4053.7929421480044,44.9,Kharif Crop,1,420,509,60,0.12443426692485401,0.8711434624055067,356,Ong,943,,,0,8714,12325,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000002,33.569077611655445,0.4,Rabi Crop,2,311,549,48,0.12443426692485401,0.8711434624055067,257,Ong,111,,,0,7441,12364,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000009,11.209214118742098,0.1,Triple Crop,7,786,953,288,0.12443426692485401,0.8711434624055067,484,Ong,947,,,0,10118,12563,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000006,2093.722790391308,23.2,Double Crop Kharif/Zaid,5,853,995,276,0.12443426692485401,0.8711434624055067,569,Ong,1104,,,0,11173,13279,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000004,67.45554486851107,0.7,Double Crop Kharif/Rabi,4,481,665,64,0.12443426692485401,0.8711434624055067,404,Ong,910,,,0,10517,14982,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_0000000000000000000a,561.8832669416236,6.2,Perennial Crops,8,891,1113,209,0.12443426692485401,0.8711434624055067,666,Ong,1281,,,0,15762,17790,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000001a,2492.1692321389482,54.4,Other Irrigated (High Water Intensive),14,450,557,203,0.14274506206635462,0.39324161460959717,246,Ong,74,,,3,3842,4903,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000001c,271.3482994931089,5.9,Other Irrigated (Less Water Intensive),15,284,340,79,0.14274506206635462,0.39324161460959717,205,Ong,55,,,3,2455,3540,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_0000000000000000001f,150.65744978607762,3.3,Class1,31,318,417,116,0.14274506206635462,0.39324161460959717,201,Ong,57,,,3,2562,4201,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
